title,age_rating,duration_min,genre,budget,revenue,platform
Dick Johnson Is Dead,13+,90.0,Documentary and Educational,112987495.54,374602664.84,Netflix
My Little Pony: A New Generation,PG,91.0,Family and Children,285263577.62,950719234.98,Netflix
Sankofa,18+,125.0,"Drama, International",219866188.6,732020742.42,Netflix
The Starling,13+,104.0,"Comedy, Drama",179998886.77,598698618.35,Netflix
Je Suis Karl,18+,127.0,"Drama, International",47649573.49,156103038.58,Netflix
Confessions of an Invisible Girl,PG,91.0,"Comedy, Family and Children",47642361.58,156078920.88,Netflix
Europe's Most Dangerous Man: Otto Skorzeny in Spain,18+,67.0,"Documentary and Educational, International",18367000.04,58177803.81,Netflix
Intrusion,13+,94.0,Thriller,259986667.59,866189528.16,Netflix
Avvai Shanmughi,PG,161.0,"Comedy, International",180733388.51,601154900.24,Netflix
Go! Go! Cory Carson: Chrissy Takes the Wheel,G,61.0,Family and Children,212713700.76,708101770.54,Netflix
Jeans,13+,166.0,"Comedy, Drama, International",7154763.79,20682435.85,Netflix
Minsara Kanavu,PG,147.0,"Comedy, International, Musicals",291003045.8,969912861.18,Netflix
Grown Ups,13+,103.0,Comedy,249900349.6,832459396.54,Netflix
Dark Skies,13+,97.0,"Horror, Sci-Fi",64489394.09,212417876.77,Netflix
Paranoia,13+,106.0,Thriller,55365665.19,181906784.71,Netflix
Ankahi Kahaniya,13+,111.0,"Drama, International",55837948.45,183486169.4,Netflix
The Father Who Moves Mountains,18+,110.0,"Drama, International, Thriller",91968430.64,304311818.74,Netflix
The Stronghold,18+,105.0,"Action, Drama, International",157902173.06,524803955.99,Netflix
Birth of the Dragon,13+,96.0,"Action, Drama",130151560.57,432001824.14,Netflix
Jaws,PG,124.0,"Action, Adventure, Drama",88077512.92,291300017.28,Netflix
Jaws 2,PG,116.0,"Drama, Horror, Thriller",183944015.52,611891709.43,Netflix
Jaws 3,PG,98.0,"Action, Horror, Thriller",42708664.33,139579911.27,Netflix
Jaws: The Revenge,13+,91.0,"Action, Horror, Thriller",88351249.91,292215434.07,Netflix
My Heroes Were Cowboys,PG,23.0,Documentary and Educational,110542191.14,366425207.11,Netflix
Safe House,18+,115.0,Action,137364925.28,456124377.22,Netflix
Training Day,R,122.0,"Drama, Thriller",235767612.46,785197443.8,Netflix
InuYasha the Movie 2: The Castle Beyond the Looking Glass,13+,99.0,"Action, Animation, International",60702460.87,199753814.78,Netflix
InuYasha the Movie 3: Swords of an Honorable Ruler,13+,99.0,"Action, Animation, International",154756097.09,514283014.97,Netflix
InuYasha the Movie 4: Fire on the Mystic Island,PG,88.0,"Action, Animation, International",178131956.09,592455327.41,Netflix
InuYasha the Movie: Affections Touching Across Time,PG,100.0,"Action, Animation, International",14888673.4,46545767.68,Netflix
Naruto Shippuden the Movie: Blood Prison,13+,102.0,"Action, Animation, International",182655910.72,607584097.42,Netflix
Naruto Shippûden the Movie: Bonds,PG,93.0,"Action, Animation, International",51986712.98,170607071.27,Netflix
Naruto Shippûden the Movie: The Will of Fire,PG,96.0,"Action, Animation, International",20450426.3,65145087.83,Netflix
Naruto Shippuden: The Movie,PG,95.0,"Action, Animation, International",284716775.64,948890648.7,Netflix
Naruto Shippuden: The Movie: The Lost Tower,13+,85.0,"Action, Animation, International",289723977.89,965635469.87,Netflix
Naruto the Movie 2: Legend of the Stone of Gelel,PG,97.0,"Action, Animation, International",242710807.09,808416508.38,Netflix
Naruto the Movie 3: Guardians of the Crescent Moon Kingdom,PG,95.0,"Action, Animation, International",92079516.98,304683307.8,Netflix
Naruto the Movie: Ninja Clash in the Land of Snow,PG,83.0,"Action, Animation, International",30203962.09,97762346.79,Netflix
Nightbooks,PG,103.0,Family and Children,205585674.93,684264603.21,Netflix
Schumacher,13+,113.0,"Documentary and Educational, International, Sports",132605595.63,440208478.49,Netflix
A StoryBots Space Adventure,G,13.0,Family and Children,37489432.22,122126031.02,Netflix
King of Boys,18+,182.0,"Drama, International",149057896.12,495227392.42,Netflix
You vs. Wild: Out Cold,G,106.0,Family and Children,11282167.81,34485082.26,Netflix
Little Singham - Black Shadow,PG,48.0,"Comedy, Family and Children",272886800.22,909329470.04,Netflix
Tughlaq Durbar,13+,145.0,"Comedy, Drama, International",78375214.5,258854103.6,Netflix
Tughlaq Durbar (Telugu),13+,145.0,"Comedy, Drama, International",199094163.02,662556032.13,Netflix
Firedrake the Silver Dragon,PG,93.0,Family and Children,94201611.75,311779904.98,Netflix
Kate,R,106.0,Action,156500338.33,520116014.38,Netflix
Omo Ghetto: the Saga,18+,147.0,"Action, Comedy, Drama",164466373.52,546755608.32,Netflix
Prey,18+,87.0,"International, Thriller",56271482.2,184935970.08,Netflix
Blood Brothers: Malcolm X & Muhammad Ali,13+,96.0,"Documentary and Educational, Sports",290905803.7,969587669.3,Netflix
Paradise Hills,18+,95.0,"Sci-Fi, Thriller",232764714.18,775155310.08,Netflix
The Women and the Murderer,13+,92.0,"Documentary and Educational, International",281910183.53,939504991.67,Netflix
JJ+E,18+,91.0,"Drama, International",268553377.78,894837867.69,Netflix
Show Dogs,PG,90.0,"Comedy, Family and Children",179772093.66,597940188.81,Netflix
If I Leave Here Tomorrow: A Film About Lynyrd Skynyrd,18+,97.0,"Documentary and Educational, Musicals",276640396.27,921882047.6,Netflix
Untold: Breaking Point,18+,80.0,"Documentary and Educational, Sports",27459258.11,88583652.8,Netflix
Shadow Parties,18+,117.0,"Drama, International, Thriller",59598875.86,196063264.13,Netflix
Angamaly Diaries,13+,128.0,"Action, Comedy, Drama",14522959.38,45322766.18,Netflix
A Champion Heart,G,90.0,"Drama, Family and Children",98273768.9,325397797.73,Netflix
Worth,13+,119.0,Drama,117214509.62,388738421.96,Netflix
Afterlife of the Party,PG,110.0,"Comedy, Drama",82133360.5,271421896.87,Netflix
Anjaam,13+,143.0,"Drama, International, Thriller",248792515.24,828754635.4,Netflix
Bright Star,PG,119.0,Drama,107669244.68,356817651.36,Netflix
Dhanak,PG,114.0,"Comedy, Drama",84999418.4,281006416.24,Netflix
Final Account,13+,94.0,Documentary and Educational,163266128.86,542741813.55,Netflix
Gurgaon,13+,106.0,"Drama, International, Thriller",43136343.27,141010132.55,Netflix
Here and There,18+,99.0,"Drama, International",240856897.25,802216761.06,Netflix
In the Cut,R,118.0,Thriller,23290642.46,74643188.62,Netflix
Shikara,13+,115.0,"Drama, International",296079194.04,986888247.91,Netflix
A Cinderella Story,PG,95.0,"Comedy, Family and Children",231901186.02,772267544.82,Netflix
Agatha Christie's Crooked House,13+,115.0,"Drama, International, Thriller",60415988.78,198795809.97,Netflix
An Unfinished Life,13+,108.0,Drama,2651113.02,5621564.91,Netflix
Barbie Big City Big Dreams,G,63.0,"Family and Children, Musicals",244822967.11,815479882.31,Netflix
Blade Runner: The Final Cut,R,117.0,"Action, Adventure, Thriller",212350345.81,706886658.11,Netflix
Chappie,R,121.0,"Action, Sci-Fi",218973143.24,729034267.32,Netflix
Clear and Present Danger,13+,142.0,"Action, Drama",231609833.66,771293219.65,Netflix
Cliffhanger,R,113.0,Action,23139350.87,74137247.27,Netflix
Cold Mountain,R,154.0,Drama,108181252.83,358529881.97,Netflix
Crocodile Dundee in Los Angeles,PG,95.0,"Action, Comedy",35644848.8,115957472.62,Netflix
Dear John,13+,108.0,Drama,259067924.34,863117115.53,Netflix
Do the Right Thing,R,120.0,"Adventure, Comedy, Drama",187366139.92,623335797.01,Netflix
"El patrón, radiografía de un crimen",18+,100.0,"Drama, International, Thriller",99938509.43,330964935.05,Netflix
Extraction,R,82.0,Action,20003946.74,63651994.45,Netflix
Freedom Writers,13+,124.0,Drama,93983714.19,311051223.48,Netflix
Green Lantern,13+,114.0,"Action, Sci-Fi",98229813.29,325250803.69,Netflix
House Party,R,104.0,"Comedy, Thriller",219152247.32,729633217.72,Netflix
House Party 2,R,94.0,"Comedy, Musicals, Thriller",191629683.94,637593715.61,Netflix
House Party 3,R,94.0,"Comedy, Musicals",266276610.03,887224021.3,Netflix
I Got the Hook Up,R,93.0,"Action, Comedy",142192262.62,472267703.67,Netflix
In Too Deep,R,97.0,Thriller,36758679.54,119682286.51,Netflix
Initial D,13+,109.0,"Action, International",214260191.38,713273462.74,Netflix
Janoskians: Untold and Untrue,18+,88.0,Comedy,228474729.54,760808970.11,Netflix
Labyrinth,PG,101.0,"Action, Family and Children, Thriller",168821882.07,561321069.85,Netflix
Letters to Juliet,PG,105.0,"Comedy, Drama",231519186.81,770990083.24,Netflix
Level 16,13+,102.0,"Sci-Fi, Thriller",148644883.31,493846216.8,Netflix
Love Don't Cost a Thing,13+,101.0,"Comedy, Drama",157297115.99,522780556.1,Netflix
Love in a Puff,18+,103.0,"Comedy, Drama, International",128834764.49,427598264.26,Netflix
Mars Attacks!,13+,106.0,"Comedy, Sci-Fi, Thriller",8600318.9,25516584.83,Netflix
Marshall,13+,118.0,Drama,33259536.67,107980637.85,Netflix
My Boss's Daughter,R,86.0,"Comedy, Drama",10397326.52,31526042.77,Netflix
Mystery Men,13+,121.0,"Action, Comedy",191286712.97,636446770.22,Netflix
Once Upon a Time in America,R,229.0,"Adventure, Drama",94992438.34,314424545.48,Netflix
Open Season 2,PG,76.0,"Comedy, Family and Children",153062636.66,508619834.1,Netflix
Osmosis Jones,PG,95.0,"Action, Comedy, Family and Children",272362375.7,907575717.28,Netflix
Poseidon,13+,98.0,"Action, Drama",75538376.52,249367299.93,Netflix
Rhyme & Reason,R,89.0,"Documentary and Educational, Musicals",123704493.99,410441884.74,Netflix
Same Kind of Different as Me,13+,120.0,"Diversity, Drama",226909790.42,755575583.43,Netflix
School of Rock,13+,110.0,"Comedy, Musicals",69410651.48,228875285.68,Netflix
Snervous Tyler Oakley,13+,83.0,"Diversity, Documentary and Educational",24016993.04,77072211.84,Netflix
Tears of the Sun,R,121.0,"Action, Drama",87635684.42,289822477.77,Netflix
The Blue Lagoon,R,105.0,Drama,49205164.89,161305165.13,Netflix
The Golden Child,13+,94.0,"Action, Comedy",278979598.05,929704682.58,Netflix
The Guns of Navarone,13+,156.0,"Action, Adventure",242627993.49,808139567.53,Netflix
The Interview,R,112.0,"Action, Comedy",190387723.2,633440416.13,Netflix
The Nutty Professor,13+,95.0,"Comedy, Drama",261566716.47,871473444.13,Netflix
The Nutty Professor II: The Klumps,13+,107.0,"Comedy, Drama",241297950.99,803691709.69,Netflix
Welcome Home Roscoe Jenkins,13+,114.0,Comedy,56784447.61,186651401.88,Netflix
In the Line of Fire,R,129.0,"Action, Adventure",267875140.55,892569742.59,Netflix
Untold: Crime & Penalties,18+,86.0,"Documentary and Educational, Sports",162263330.33,539388307.69,Netflix
2 Alone in Paris,18+,97.0,"Comedy, International",242424606.39,807459411.15,Netflix
Thimmarusu,13+,125.0,"Drama, International",268931298.68,896101690.79,Netflix
Wind River,R,107.0,Drama,96083039.02,318071674.62,Netflix
C Kkompany,13+,127.0,"Action, Comedy, International",33905525.43,110140919.34,Netflix
EMI: Liya Hai To Chukana Padega,13+,128.0,"Comedy, Drama, International",69152613.6,228012369.03,Netflix
He's All That,13+,92.0,"Comedy, Drama",128705228.8,427165077.85,Netflix
Koi Aap Sa,13+,135.0,"Comedy, Drama, International",245586415.01,818032964.45,Netflix
Krishna Cottage,13+,124.0,"Action, Horror, International",258358444.39,860744510.2,Netflix
Kucch To Hai,13+,136.0,"Drama, International, Thriller",3078687.03,7051435.32,Netflix
Kyaa Kool Hai Hum,18+,165.0,"Comedy, International, Musicals",153713443.47,510796227.85,Netflix
Kyaa Kool Hain Hum 3,18+,124.0,"Comedy, International",125805889.94,417469262.05,Netflix
Kyaa Super Kool Hain Hum,18+,136.0,"Comedy, International",67410235.33,222185599.69,Netflix
Kyo Kii... Main Jhuth Nahin Bolta,13+,150.0,"Comedy, International, Sci-Fi",36839744.83,119953380.8,Netflix
"LSD: Love, Sex Aur Dhokha",18+,112.0,"Drama, International",101946936.25,337681409.89,Netflix
Mission Istaanbul: Darr Ke Aagey Jeet Hai,13+,119.0,"Action, International, Musicals",282930001.47,942915412.94,Netflix
